Scenario,Year,Crop demand,Energy crop demand,Livestock demand,Energy crop production,Non-energy crop production
SSP2 - 2.6,2010,2743381807,0,233117496.4,0,3032884054
SSP2 - 3.4,2010,2743381807,0,233117496.4,0,3032884054
SSP2 - 4.5,2010,2743381807,0,233117496.4,0,3032884054
SSP2 - 6.0,2010,2743381807,0,233117496.4,0,3032884054
SSP2 - Baseline,2010,2743381807,0,233117496.4,0,3032884054
SSP3 - 3.4,2010,2638405600,207424500,270010500,0,3546514000
SSP3 - 4.5,2010,2638405600,207424500,270010500,0,3546514000
SSP3 - 6.0,2010,2638405600,207424500,270010500,0,3546514000
SSP3 - Baseline,2010,2639070000,208276400,270004500,0,3546642500
SSP4 - 2.6,2010,3256111096,1395044483,193120081.3,0,3480772607
SSP4 - 3.4,2010,3256111096,1395044483,193120081.3,0,3480772608
SSP4 - 4.5,2010,3256111096,1395044483,193120081.3,0,3480772608
SSP4 - 6.0,2010,3256111096,1395044483,193120081.3,0,3480772608
SSP4 - Baseline,2010,0,0,0,0,3480772608
SSP5 - 1.9,2010,0,11213800,235413800,11213800,3758394200
SSP5 - 2.6,2010,0,11213800,235444900,11213800,3758809400
SSP5 - 3.4,2010,0,11213800,235444900,11213800,3758809400
SSP5 - 4.5,2010,0,11213800,235444900,11213800,3758809400
SSP5 - 6.0,2010,0,11213800,235444900,11213800,3758809400
SSP5 - Baseline,2010,0,11213800,235413800,11213800,3758394200
SSP1 - 1.9,2020,4330961000,0,289096841.8,9.113.685.974.000.000,4354620000
SSP1 - 2.6,2020,4330961000,0,289096841.8,9.518.765.869.000.000,4355897000
SSP1 - 3.4,2020,4334602375,0,289174832,109423546.9,4361476000
SSP1 - 4.5,2020,4339871875,0,289206884.8,121538069.8,4365692000
SSP1 - Baseline,2020,4347582125,0,289282287.1,122898720.7,4373590000
SSP2 - 1.9,2020,3240968703,0,274615831.9,938601454.5,3533324392
SSP2 - 2.6,2020,3237874875,0,274382410.3,1026868121,3530230798
SSP2 - 3.4,2020,3246219174,0,275496711.7,938601454.5,3538613994
SSP2 - 4.5,2020,3248917997,0,275839084.9,938601454.5,3541323517
SSP2 - 6.0,2020,3251815303,0,276120344,938601454.5,3544221721
SSP2 - Baseline,2020,3254604910,0,276592207.6,938601454.5,3547035356
SSP3 - 3.4,2020,3346379800,563275100,317845300,23807300,41.240.604.999.999.900
SSP3 - 4.5,2020,3346379800,563275100,317845300,23807300,41.240.604.999.999.900
SSP3 - 6.0,2020,3346379800,563275100,317845300,23807300,41.240.604.999.999.900
SSP3 - Baseline,2020,3331128200,543713500,317867200,22811500,41.212.893.000.000.000
SSP4 - 2.6,2020,3688065943,20.551.627.720.000.000,22.678.250.739.999.900,416119337.7,3733450529
SSP4 - 3.4,2020,3688065943,20.551.627.720.000.000,22.678.250.739.999.900,416119349.5,3733450818
SSP4 - 4.5,2020,3688065943,20.551.627.720.000.000,22.678.250.739.999.900,416119349.5,3733450818
SSP4 - 6.0,2020,3688065943,20.551.627.720.000.000,22.678.250.739.999.900,416119349.5,3733450818
SSP4 - Baseline,2020,0,0,0,37.787.706.409.999.900,3731899247
SSP5 - 1.9,2020,0,83659900,303699700,83659900,4525046700
SSP5 - 2.6,2020,0,83659900,304184700,83659900,4527751900
SSP5 - 3.4,2020,0,83659900,304184700,83659900,4527751900
SSP5 - 4.5,2020,0,83659900,304184700,83659900,4527751900
SSP5 - 6.0,2020,0,83659900,304184700,83659900,4527751900
SSP5 - Baseline,2020,0,84564500,304241300,84564500,4523136000
SSP1 - 1.9,2030,4764790750,0,309853936.5,445930839.8,4944219000
SSP1 - 2.6,2030,4764790750,0,309853936.5,161969332.5,4827157000
SSP1 - 3.4,2030,4776535875,0,310123299.8,215929142.1,4852597000
SSP1 - 4.5,2030,4789960750,0,310242688.5,302516750,4833716000
SSP1 - Baseline,2030,4808445875,0,310456300.8,310195404.3,4849270000
SSP2 - 1.9,2030,3680531207,0,312901169.3,1792971341,3973154860
SSP2 - 2.6,2030,3721526037,0,31.581.104.340.000.000,1586571341,4014150642
SSP2 - 3.4,2030,3739180838,0,317292079.3,1160838008,4031805506
SSP2 - 4.5,2030,3745438630,0,317729576.9,10.585.713.410.000.000,4038069092
SSP2 - 6.0,2030,3747678810,0,318008550.7,1029038008,4040308540
SSP2 - Baseline,2030,3748450305,0,318148911.2,1029038008,4041098202
SSP3 - 3.4,2030,4555102100,1586371500,355994500,94732000,4733432700
SSP3 - 4.5,2030,4334357800,1308262100,356197800,78865500,4696965700
SSP3 - 6.0,2030,4322101800,1292808800,356208900,77975800,4694950500
SSP3 - Baseline,2030,4221368300,1165691900,356336400,59736300,4688856900
SSP4 - 2.6,2030,4056775148,4258197145,249934204.3,1415325744,4106028838
SSP4 - 3.4,2030,4065408416,3463103048,25.136.427.520.000.000,809967869.6,41.112.017.459.999.900
SSP4 - 4.5,2030,4069388299,3134398163,252019096.3,694478796.2,4114065334
SSP4 - 6.0,2030,4075308094,2719598698,252973984.1,575134101.5,4118197255
SSP4 - Baseline,2030,0,0,0,5.907.995.145.999.990,41.220.754.880.000.000
SSP5 - 1.9,2030,0,394567300,382277900,394567300,4953645200
SSP5 - 2.6,2030,0,12.941.579.999.999.900,382473000,12.941.579.999.999.900,4946967800
SSP5 - 3.4,2030,0,74239100,386507800,74239100,4950724100
SSP5 - 4.5,2030,0,150668900,386503200,150668900,4950044500
SSP5 - 6.0,2030,0,74863100,386616700,74863100,4949998700
SSP5 - Baseline,2030,0,87532000,385223300,87532000,4942283400
SSP1 - 1.9,2040,5110124250,0,324523696.3,1574852336,5147676000
SSP1 - 2.6,2040,5110124250,0,324523696.3,399864022.5,5254736000
SSP1 - 3.4,2040,5130602250,0,324986742.2,421916095.2,5309377000
SSP1 - 4.5,2040,5153440375,0,325304516.6,571864125.5,5291867000
SSP1 - Baseline,2040,5181673375,0,325796189.5,588363849.6,5320158000
SSP2 - 1.9,2040,3835749663,0,320698974.2,3058171341,41.282.319.310.000.000
SSP2 - 2.6,2040,4068857235,0,345656412.3,2245571341,4361486744
SSP2 - 3.4,2040,41.278.578.960.000.000,0,350854242.4,1607838008,4420509913
SSP2 - 4.5,2040,41.596.583.119.999.900,0,352634669,1304838008,4452318462
SSP2 - 6.0,2040,41.763.454.140.000.000,0,35.421.355.390.000.000,1085571341,4469005322
SSP2 - Baseline,2040,4180407480,0,354609432.5,1085571341,4473086071
SSP3 - 3.4,2040,9528768500,7402989100,381268700,10.716.352.999.999.900,5301054400
SSP3 - 4.5,2040,7100780500,4357552800,383253300,569242400,5207008600
SSP3 - 6.0,2040,6725491200,3885274800,383866700,495259600,5191114100
SSP3 - Baseline,2040,5306526100,2108307500,384612200,147776500,5187355300
SSP4 - 2.6,2040,4337267449,5901712417,26.813.652.939.999.900,2632015002,4390872346
SSP4 - 3.4,2040,4366079065,4499070945,271523728.1,1401410885,4411540553
SSP4 - 4.5,2040,4379321638,4069379209,273209268.5,10.263.425.990.000.000,4423510300
SSP4 - 6.0,2040,4400629550,3350646210,275974186.1,747468307.6,4444520472
SSP4 - Baseline,2040,0,0,0,794897032.3,4453221493
SSP5 - 1.9,2040,0,5939708200,463265700,5939708200,5364107000
SSP5 - 2.6,2040,0,1316341200,460410300,1316341200,5317633100
SSP5 - 3.4,2040,0,109734000,460248100,109734000,5335194400
SSP5 - 4.5,2040,0,290556700,466501500,290556700,5329383300
SSP5 - 6.0,2040,0,68809800,467425800,68809800,5333209800
SSP5 - Baseline,2040,0,6.682.940.000.000.000,465109600,6.682.940.000.000.000,5320627700
SSP1 - 1.9,2050,5455829250,0,339193526.4,2006291953,5456159000
SSP1 - 2.6,2050,5455829250,0,339193526.4,808240431.6,5477702000
SSP1 - 3.4,2050,5485054125,0,33.985.024.609.999.900,758487498,5519592000
SSP1 - 4.5,2050,5517297625,0,340366303.7,906001980.5,5544530000
SSP1 - Baseline,2050,5555269875,0,341136144.5,9.065.663.651.999.990,5582935000
SSP2 - 1.9,2050,3776165098,0,310942612,4619314897,4068085715
SSP2 - 2.6,2050,42.821.101.959.999.900,0,360684725.3,3073904674,4574683211
SSP2 - 3.4,2050,4420510815,0,37.464.389.490.000.000,2344971341,4713160261
SSP2 - 4.5,2050,4492174743,0,380686753.4,1709238008,4784848480
SSP2 - 6.0,2050,4536363588,0,38.373.517.070.000.000,1237838008,4829049200
SSP2 - Baseline,2050,4548648170,0,38.483.809.079.999.900,1244971341,4841352055
SSP3 - 3.4,2050,18300336600,17992488300,401796500,3068492000,5786625400
SSP3 - 4.5,2050,14260368200,12924807400,405031800,2149181000,5708250500
SSP3 - 6.0,2050,12536467600,10763098200,406531800,1756074100,5676127200
SSP3 - Baseline,2050,6859370600,3665047700,408098000,346547600,5663504100
SSP4 - 2.6,2050,4536958025,7638197466,282536393.6,3811926627,4618779235
SSP4 - 3.4,2050,4599917934,5460304167,288599036.2,2030468052,4649384202
SSP4 - 4.5,2050,4631730624,4764042079,291829345.3,1439663950,4676678990
SSP4 - 6.0,2050,4681811061,3871040683,29.764.786.429.999.900,894189174.5,4726210114
SSP4 - Baseline,2050,0,0,0,955881565.5,4749315991
SSP5 - 1.9,2050,0,15281369200,520819300,15281369200,5828327900
SSP5 - 2.6,2050,0,7409837300,51.536.519.999.999.900,7409837300,5753868500
SSP5 - 3.4,2050,0,1157429900,514826600,1157429900,5716099500
SSP5 - 4.5,2050,0,1161593700,514563500,1161593700,5713119500
SSP5 - 6.0,2050,0,58666700,521808800,58666700,5766910000
SSP5 - Baseline,2050,0,31205900,51.734.810.000.000.000,31205900,5759041800
SSP1 - 1.9,2060,5464465625,0,332888770.5,2870823938,5464506000
SSP1 - 2.6,2060,5464465625,0,332888770.5,1637018906,5471201000
SSP1 - 3.4,2060,5494617875,0,333571646.5,1241709566,5508623000
SSP1 - 4.5,2060,5527588625,0,334133506.8,1308092318,5539393000
SSP1 - Baseline,2060,5566552250,0,334972203.1,1233003105,5578910000
SSP2 - 1.9,2060,3565781095,0,291049273.4,6366850246,3856034496
SSP2 - 2.6,2060,4330660741,0,360853169.3,4237971705,4623033265
SSP2 - 3.4,2060,4578887569,0,38.699.018.109.999.900,3281704674,4871483411
SSP2 - 4.5,2060,4712009911,0,399023954,2318038008,5004669273
SSP2 - 6.0,2060,4809400776,0,40.676.462.190.000.000,1790504674,5102106487
SSP2 - Baseline,2060,4836569216,0,40.903.474.790.000.000,1711838008,5129282933
SSP3 - 3.4,2060,25393999000,26523962900,419259500,4661989800,6222629000
SSP3 - 4.5,2060,24893933900,25872437300,422248000,4568162000,6213920600
SSP3 - 6.0,2060,18840052500,18285814500,426101500,3148049600,6131327800
SSP3 - Baseline,2060,8613413500,5505120900,428164000,610618400,6099001000
SSP4 - 2.6,2060,4621558929,10530066280,28.720.048.759.999.900,5839342348,4791391396
SSP4 - 3.4,2060,4717078697,7157216458,295632702.3,3319492453,4790891641
SSP4 - 4.5,2060,4768264870,5779588519,300213929.5,2191441997,4821543573
