year,model,scenario,region,region_iso,sector,variable,value,unit
2020,REMIND,AR6,World,,unspecified,Population,7804.973761,MtCO2/yr
2025,REMIND,AR6,World,,unspecified,Population,8123.722893,MtCO2/yr
2030,REMIND,AR6,World,,unspecified,Population,8412.27920199999,MtCO2/yr
2035,REMIND,AR6,World,,unspecified,Population,8655.523047,MtCO2/yr
2040,REMIND,AR6,World,,unspecified,Population,8852.42389800001,MtCO2/yr
2045,REMIND,AR6,World,,unspecified,Population,9015.496743000002,MtCO2/yr
2050,REMIND,AR6,World,,unspecified,Population,9135.393125,MtCO2/yr
